feature_name,feature_type,importance_rank
total_fee_lamports,engineered,1
total_transactions,engineered,2
total_transactions_acceleration,engineered,3
total_transactions_ma_24h,engineered,4
total_transactions_velocity,engineered,5
high_fee_tx_count,engineered,6
whale_intensity,engineered,7
total_transactions_std_3h,engineered,8
total_transactions_std_12h,engineered,9
total_transactions_std_6h,engineered,10
total_transactions_std_24h,engineered,11
unique_wallets_acceleration,engineered,12
unique_wallets,engineered,13
unique_wallets_smooth,engineered,14
unique_wallets_velocity,engineered,15
unique_wallets_ma_6h,engineered,16
unique_wallets_ma_12h,engineered,17
unique_wallets_ma_24h,engineered,18
fee_per_tx_acceleration,engineered,19
unique_wallets_std_3h,engineered,20
unique_wallets_std_6h,engineered,21
unique_wallets_std_12h,engineered,22
fee_per_tx_velocity,engineered,23
unique_wallets_std_24h,engineered,24
fee_per_tx_ma_24h,engineered,25
fee_per_tx_std_12h,engineered,26
fee_per_tx_std_6h,engineered,27
fee_per_tx_std_24h,engineered,28
fee_per_tx_std_3h,engineered,29
tx_wallet_ratio,engineered,30
volume_regime,engineered,31
fee_regime,engineered,32
activity_regime,engineered,33
total_transactions_skew_3h,engineered,34
fee_per_tx_skew_3h,engineered,35
unique_wallets_skew_3h,engineered,36
cluster_id,engineered,37
fee_per_tx_skew_6h,engineered,38
